effective_from,effective_to,event_date,event_type,expected_channel,note,scope,severity,source_url
,,2026-02-12,tet_proximity,premium_spike,Tết proximity (Tết 2026: 2026-02-17),domestic_vietnam,high,
,,2026-02-13,tet_proximity,premium_spike,Tết proximity (Tết 2026: 2026-02-17),domestic_vietnam,high,
,,2026-02-14,tet_proximity,premium_spike,Tết proximity (Tết 2026: 2026-02-17),domestic_vietnam,high,
,,2026-02-15,tet_proximity,premium_spike,Tết proximity (Tết 2026: 2026-02-17),domestic_vietnam,high,
,,2026-02-16,tet_proximity,premium_spike,Tết proximity (Tết 2026: 2026-02-17),domestic_vietnam,high,
,,2026-02-17,tet_proximity,premium_spike,Tết proximity (Tết 2026: 2026-02-17),domestic_vietnam,high,
,,2011-02-07,than_tai,premium_spike,Thần Tài day (ngày vía Thần Tài) - peak gold shopping 2011,domestic_vietnam,high,
,,2012-01-27,than_tai,premium_spike,Thần Tài day (ngày vía Thần Tài) - peak gold shopping 2012,domestic_vietnam,high,
,,2013-02-14,than_tai,premium_spike,Thần Tài day (ngày vía Thần Tài) - peak gold shopping 2013,domestic_vietnam,high,
,,2014-02-03,than_tai,premium_spike,Thần Tài day (ngày vía Thần Tài) - peak gold shopping 2014,domestic_vietnam,high,
